No.,Latitude,Longitude
1,8.41,77.88
2,8.78,78.14
3,9.53,77.65
4,9.85,78.41
5,9.93,78.10
6,9.96,78.11
7,9.98,78.40
8,10.04,78.10
9,10.73,77.50
10,10.77,79.63
11,10.77,78.79
12,10.84,78.12
13,10.88,79.62
14,10.88,78.16
15,10.89,78.16
16,10.90,78.16
17,10.92,78.09
18,10.94,78.11
19,10.95,78.05
20,10.95,78.06
21,10.95,77.08
22,10.95,78.01
23,10.96,78.08
24,10.96,78.04
25,8.78,78.14
26,9.53,78.58
27,10.84,78.12
28,10.89,78.16
29,10.90,78.16
30,10.95,78.05
31,10.95,78.06
32,10.95,78.06
33,10.95,78.06
34,10.95,78.06
35,10.95,78.05
36,10.95,78.06
37,10.95,78.06
38,10.95,78.06
39,10.95,78.06
40,10.95,78.06
41,10.95,78.05
42,10.95,78.06
43,10.95,78.06
44,10.95,78.06
45,10.95,78.06
46,10.95,78.01
47,10.92,78.09
48,10.88,78.16
49,10.84,78.12
50,9.85,78.41
